,bus_id,station_id,voltage,dc,symbol,under_construction,tag_substation,tag_area,lon,lat,country,geometry,substation_lv
0,0,0,115000,False,substation,False,transmission,1900.0,-67.835,-16.2861,BO,POINT (-67.835 -16.2861),True
1,1,1,69000,False,substation,False,transmission,97760.0,-67.045,-17.9693,BO,POINT (-67.045 -17.9693),True
2,2,1,115000,False,substation,False,transmission,97760.0,-67.044,-17.9683,BO,POINT (-67.044 -17.9683),False
3,3,1,230000,False,substation,False,transmission,97760.0,-67.043,-17.9673,BO,POINT (-67.043 -17.9673),False
4,4,2,69000,False,substation,False,transmission,20790.0,-65.7994,-19.6092,BO,POINT (-65.7994 -19.6092),True
5,5,2,115000,False,substation,False,transmission,20790.0,-65.7984,-19.6082,BO,POINT (-65.7984 -19.6082),False
6,6,3,230000,False,substation,False,transmission,20820.0,-63.6306,-17.4234,BO,POINT (-63.6306 -17.4234),True
7,7,4,69000,False,substation,False,transmission,41170.0,-63.2319,-17.7414,BO,POINT (-63.2319 -17.7414),True
8,8,4,115000,False,substation,False,transmission,41170.0,-63.2309,-17.7404,BO,POINT (-63.2309 -17.7404),False
9,9,4,230000,False,substation,False,transmission,41170.0,-63.2299,-17.7394,BO,POINT (-63.2299 -17.7394),False
10,10,5,230000,False,substation,False,transmission,13550.0,-66.221,-17.5704,BO,POINT (-66.221 -17.5704),True
11,11,6,115000,False,substation,False,transmission,30760.0,-64.7206,-21.4796,BO,POINT (-64.7206 -21.4796),True
12,12,6,230000,False,substation,False,transmission,30760.0,-64.7196,-21.4786,BO,POINT (-64.7196 -21.4786),False
13,13,7,230000,False,substation,False,transmission,45130.0,-66.8031,-20.5641,BO,POINT (-66.8031 -20.5641),True
14,14,8,115000,False,substation,False,transmission,45910.0,-68.118,-16.4003,BO,POINT (-68.118 -16.4003),True
15,15,8,230000,False,substation,False,transmission,45910.0,-68.117,-16.3993,BO,POINT (-68.117 -16.3993),False
16,16,9,115000,False,substation,False,transmission,15010.0,-67.0223,-15.1429,BO,POINT (-67.0223 -15.1429),True
17,17,10,115000,False,substation,False,transmission,13310.0,-66.7703,-14.9052,BO,POINT (-66.7703 -14.9052),True
18,18,11,115000,False,substation,False,transmission,11910.0,-64.3058,-19.3214,BO,POINT (-64.3058 -19.3214),True
19,19,12,115000,False,substation,False,transmission,80600.0,-65.7552,-21.4267,BO,POINT (-65.7552 -21.4267),True
20,20,12,230000,False,substation,False,transmission,80600.0,-65.7542,-21.4257,BO,POINT (-65.7542 -21.4257),False
21,21,13,115000,False,substation,False,transmission,39140.0,-67.0374,-17.7129,BO,POINT (-67.0374 -17.7129),True
22,22,14,115000,False,substation,False,transmission,89520.0,-67.1561,-21.1339,BO,POINT (-67.1561 -21.1339),True
23,23,14,230000,False,substation,False,transmission,89520.0,-67.1551,-21.1329,BO,POINT (-67.1551 -21.1329),False
24,24,15,230000,False,substation,False,transmission,64870.0,-68.3609,-16.6466,BO,POINT (-68.3609 -16.6466),True
