,line_id,bus0,bus1,voltage_bus0,voltage_bus1,country,geometry,bounds,bus_0_coors,bus_1_coors,bus0_lon,bus0_lat,bus1_lon,bus1_lat
88,transf_1_0,1,2,69000,115000,BO,"LINESTRING (-67.045 -17.9693, -67.044 -17.9683)","MULTIPOINT ((-67.045 -17.9693), (-67.044 -17.9683))",POINT (-67.045 -17.9693),POINT (-67.044 -17.9683),-67.045,-17.9693,-67.044,-17.9683
89,transf_1_1,2,3,115000,230000,BO,"LINESTRING (-67.044 -17.9683, -67.043 -17.9673)","MULTIPOINT ((-67.044 -17.9683), (-67.043 -17.9673))",POINT (-67.044 -17.9683),POINT (-67.043 -17.9673),-67.044,-17.9683,-67.043,-17.9673
90,transf_2_0,4,5,69000,115000,BO,"LINESTRING (-65.7994 -19.6092, -65.7984 -19.6082)","MULTIPOINT ((-65.7994 -19.6092), (-65.7984 -19.6082))",POINT (-65.7994 -19.6092),POINT (-65.7984 -19.6082),-65.7994,-19.6092,-65.7984,-19.6082
91,transf_4_0,7,8,69000,115000,BO,"LINESTRING (-63.2319 -17.7414, -63.2309 -17.7404)","MULTIPOINT ((-63.2319 -17.7414), (-63.2309 -17.7404))",POINT (-63.2319 -17.7414),POINT (-63.2309 -17.7404),-63.2319,-17.7414,-63.2309,-17.7404
92,transf_4_1,8,9,115000,230000,BO,"LINESTRING (-63.2309 -17.7404, -63.2299 -17.7394)","MULTIPOINT ((-63.2309 -17.7404), (-63.2299 -17.7394))",POINT (-63.2309 -17.7404),POINT (-63.2299 -17.7394),-63.2309,-17.7404,-63.2299,-17.7394
93,transf_6_0,11,12,115000,230000,BO,"LINESTRING (-64.7206 -21.4796, -64.7196 -21.4786)","MULTIPOINT ((-64.7206 -21.4796), (-64.7196 -21.4786))",POINT (-64.7206 -21.4796),POINT (-64.7196 -21.4786),-64.7206,-21.4796,-64.7196,-21.4786
94,transf_8_0,14,15,115000,230000,BO,"LINESTRING (-68.118 -16.4003, -68.117 -16.3993)","MULTIPOINT ((-68.118 -16.4003), (-68.117 -16.3993))",POINT (-68.118 -16.4003),POINT (-68.117 -16.3993),-68.118,-16.4003,-68.117,-16.3993
95,transf_12_0,19,20,115000,230000,BO,"LINESTRING (-65.7552 -21.4267, -65.7542 -21.4257)","MULTIPOINT ((-65.7552 -21.4267), (-65.7542 -21.4257))",POINT (-65.7552 -21.4267),POINT (-65.7542 -21.4257),-65.7552,-21.4267,-65.7542,-21.4257
96,transf_14_0,22,23,115000,230000,BO,"LINESTRING (-67.1561 -21.1339, -67.1551 -21.1329)","MULTIPOINT ((-67.1561 -21.1339), (-67.1551 -21.1329))",POINT (-67.1561 -21.1339),POINT (-67.1551 -21.1329),-67.1561,-21.1339,-67.1551,-21.1329
97,transf_16_0,25,26,69000,115000,BO,"LINESTRING (-67.1026 -17.8152, -67.1016 -17.8142)","MULTIPOINT ((-67.1026 -17.8152), (-67.1016 -17.8142))",POINT (-67.1026 -17.8152),POINT (-67.1016 -17.8142),-67.1026,-17.8152,-67.1016,-17.8142
98,transf_16_1,26,27,115000,230000,BO,"LINESTRING (-67.1016 -17.8142, -67.1006 -17.8132)","MULTIPOINT ((-67.1016 -17.8142), (-67.1006 -17.8132))",POINT (-67.1016 -17.8142),POINT (-67.1006 -17.8132),-67.1016,-17.8142,-67.1006,-17.8132
99,transf_20_0,31,32,115000,230000,BO,"LINESTRING (-63.1469 -17.5336, -63.1459 -17.5326)","MULTIPOINT ((-63.1469 -17.5336), (-63.1459 -17.5326))",POINT (-63.1469 -17.5336),POINT (-63.1459 -17.5326),-63.1469,-17.5336,-63.1459,-17.5326
