Generator,p_nom_extendable
10 onwind,True
10 solar,True
21 onwind,True
21 ror,False
21 solar,True
27 onwind,True
27 solar,True
29 onwind,True
29 solar,True
3 onwind,True
3 solar,True
32 CCGT,True
32 biomass,True
32 onwind,True
32 solar,True
34 OCGT,True
34 onwind,True
34 solar,True
42 OCGT,True
42 onwind,True
42 solar,True
46 OCGT,True
46 onwind,True
46 ror,False
46 solar,True
48 onwind,True
48 solar,True
49 onwind,True
49 solar,True
5 onwind,True
5 solar,True
52 OCGT,True
52 onwind,True
52 solar,True
55 CCGT,True
55 onwind,True
55 ror,False
55 solar,True
58 CCGT,True
58 OCGT,True
58 onwind,True
58 solar,True
6 onwind,True
6 solar,True
60 onwind,True
60 solar,True
61 onwind,True
61 solar,True
63 onwind,True
63 solar,True
64 onwind,True
64 ror,False
64 solar,True
65 onwind,True
65 solar,True
68 onwind,True
68 solar,True
69 biomass,True
69 oil,True
69 onwind,True
69 ror,False
69 solar,True
72 onwind,True
72 solar,True
73 onwind,True
73 solar,True
89 onwind,True
89 solar,True
9 onwind,True
9 solar,True
