Generator,p_nom_opt,p_nom
10 onwind,1.0371086443263698e-05,0.0
10 solar,0.00030740377036664074,0.0
21 onwind,2.2502575525266247e-05,0.0
21 ror,1.89,1.89
21 solar,0.00027855094740403605,0.0
27 onwind,3.945678759425343e-05,0.0
27 solar,0.0005598580834603746,0.0
29 onwind,2.2466131050168782e-05,0.0
29 solar,0.0003470742006836342,0.0
3 onwind,3.606767897614243e-05,0.0
3 solar,555.6261428681078,50.2
32 CCGT,512.920001260051,512.92
32 biomass,50.64004506292648,50.64
32 onwind,8.868000723047551e-05,0.0
32 solar,0.00011195401640825443,0.0
34 OCGT,369.12000361566976,369.12
34 onwind,5.210910166676524e-05,0.0
34 solar,0.00011466510185536139,0.0
42 OCGT,49.25000071389517,49.25
42 onwind,2.4851016801590745e-05,0.0
42 solar,0.0007268929108227869,0.0
46 OCGT,115.41041747883828,115.41
46 onwind,6.626592293405735e-06,0.0
46 ror,7.54,7.54
46 solar,0.00014554674650514793,0.0
48 onwind,1.882567302960603e-06,0.0
48 solar,0.00016341265370703803,0.0
49 onwind,3.8046544088880634e-05,0.0
49 solar,0.0004987924952269409,0.0
5 onwind,3.0392435316922144e-05,0.0
5 solar,0.00034143787641624203,0.0
52 OCGT,34.50007850738417,34.49999999999999
52 onwind,1.3079177485556374e-05,0.0
52 solar,0.00016345620110750514,0.0
55 CCGT,454.30002239879593,454.3
55 onwind,5.835741164548071e-05,0.0
55 ror,19.04,19.04
55 solar,64.70017079623841,64.7
58 CCGT,396.7700021397908,396.77
58 OCGT,380.64024609319443,380.64000000000004
58 onwind,3.813747412889688e-05,0.0
58 solar,0.0001448667895239793,0.0
6 onwind,5.3720359883606904e-05,0.0
6 solar,0.00012423979748950767,0.0
60 onwind,3.136927795730422e-05,0.0
60 solar,0.0009370260544479556,0.0
61 onwind,26.54000333066449,26.54
61 solar,0.00016725169287002664,0.0
63 onwind,2.958175327034299e-05,0.0
63 solar,0.00014220857701387261,0.0
64 onwind,3.3306627186967145e-06,0.0
64 ror,122.88999999999999,122.88999999999999
64 solar,0.0001609458103423052,0.0
65 onwind,2.336511233702137e-06,0.0
65 solar,0.00024056741349178185,0.0
68 onwind,5.543456134297984e-05,0.0
68 solar,0.00013683576663542086,0.0
69 biomass,4.940001584020011,4.94
69 oil,11.740019116157491,11.74
69 onwind,4.370447930324011e-05,0.0
69 ror,211.17,211.17
69 solar,0.00010256013267840291,0.0
72 onwind,1.4298972966986978e-05,0.0
72 solar,0.00024460416348780656,0.0
73 onwind,1.6181833404144842e-05,0.0
73 solar,0.00024163038810286113,0.0
89 onwind,4.0876474405453736e-05,0.0
89 solar,0.00048097632508026336,0.0
9 onwind,0.00016875697407476399,0.0
9 solar,0.0001721483495307355,0.0
3 load,1000000000.0,1000000000.0
5 load,1000000000.0,1000000000.0
6 load,1000000000.0,1000000000.0
9 load,1000000000.0,1000000000.0
10 load,1000000000.0,1000000000.0
21 load,1000000000.0,1000000000.0
27 load,1000000000.0,1000000000.0
29 load,1000000000.0,1000000000.0
32 load,1000000000.0,1000000000.0
34 load,1000000000.0,1000000000.0
42 load,1000000000.0,1000000000.0
46 load,1000000000.0,1000000000.0
48 load,1000000000.0,1000000000.0
49 load,1000000000.0,1000000000.0
52 load,1000000000.0,1000000000.0
55 load,1000000000.0,1000000000.0
58 load,1000000000.0,1000000000.0
60 load,1000000000.0,1000000000.0
61 load,1000000000.0,1000000000.0
63 load,1000000000.0,1000000000.0
64 load,1000000000.0,1000000000.0
65 load,1000000000.0,1000000000.0
68 load,1000000000.0,1000000000.0
69 load,1000000000.0,1000000000.0
72 load,1000000000.0,1000000000.0
73 load,1000000000.0,1000000000.0
89 load,1000000000.0,1000000000.0
