Generator,p_nom_opt,p_nom
BO0 0 CCGT,454.300002748013,454.3
BO0 0 onwind,9.53572088715338e-05,0.0
BO0 0 ror,19.04,19.04
BO0 0 solar,64.70063556785176,64.7
BO0 1 CCGT,396.770234592682,396.77
BO0 1 OCGT,380.6400075148925,380.64000000000004
BO0 1 onwind,7.717211072566521e-05,0.0
BO0 1 solar,0.00022616177945236507,0.0
BO0 10 CCGT,512.9200213791161,512.92
BO0 10 biomass,50.64029797979391,50.64
BO0 10 onwind,0.00014441236856632298,0.0
BO0 10 solar,0.0002104577155772695,0.0
BO0 11 OCGT,49.2500776694979,49.25
BO0 11 onwind,4.284011433799426e-05,0.0
BO0 11 solar,0.0013161907358586332,0.0
BO0 12 OCGT,115.41025736116087,115.41
BO0 12 onwind,3.804735624180378e-06,0.0
BO0 12 solar,0.0003552685071130769,0.0
BO0 13 onwind,4.7698922583485996e-05,0.0
BO0 13 solar,0.0005540901682383237,0.0
BO0 14 onwind,26.54000453163772,26.54
BO0 14 solar,0.00035040701905372643,0.0
BO0 15 onwind,4.466219758104799e-05,0.0
BO0 15 ror,1.89,1.89
BO0 15 solar,0.0006120967712600121,0.0
BO0 16 onwind,0.00012491242238423672,0.0
BO0 16 solar,0.0002427165755321876,0.0
BO0 17 onwind,7.066202636567068e-05,0.0
BO0 17 solar,0.0016121599828252252,0.0
BO0 18 onwind,5.428344482966107e-06,0.0
BO0 18 ror,122.88999999999999,122.88999999999999
BO0 18 solar,0.00017223765379524212,0.0
BO0 19 onwind,1.7071585451108958e-05,0.0
BO0 19 solar,0.00045638359574867244,0.0
BO0 2 onwind,1.4922636905945639e-05,0.0
BO0 2 ror,108.96000000000001,108.96000000000001
BO0 2 solar,0.0003128433603285457,0.0
BO0 20 onwind,0.00020691185524525423,0.0
BO0 20 solar,0.000257023761646355,0.0
BO0 21 OCGT,34.50001279005533,34.49999999999999
BO0 21 onwind,2.1929853409862217e-05,0.0
BO0 21 solar,0.00034638783420200275,0.0
BO0 22 onwind,5.5331788355701096e-05,0.0
BO0 22 solar,0.0007989856914604177,0.0
BO0 23 onwind,6.641763480676547e-05,0.0
BO0 23 solar,0.0007516662713546816,0.0
BO0 24 onwind,2.6664769875428037e-05,0.0
BO0 24 solar,0.0002917800246995895,0.0
BO0 25 onwind,4.241177129636912e-06,0.0
BO0 25 solar,0.00033520198077131283,0.0
BO0 26 onwind,4.950468783219259e-05,0.0
BO0 26 solar,0.0011350916955720023,0.0
BO0 3 OCGT,369.12000143274196,369.12
BO0 3 onwind,8.572887542082377e-05,0.0
BO0 3 solar,0.00020078590685052058,0.0
BO0 4 onwind,2.6790807741343744e-05,0.0
BO0 4 solar,0.00029695856013470777,0.0
BO0 5 onwind,9.121605277232583e-05,0.0
BO0 5 solar,0.000320109973773147,0.0
BO0 6 onwind,5.8915432784186e-05,0.0
BO0 6 solar,484.11155325231397,50.2
BO0 7 onwind,6.158926279114228e-05,0.0
BO0 7 solar,0.00016206084768696847,0.0
BO0 8 onwind,3.2765565047860007e-06,0.0
BO0 8 solar,0.0002708634197980312,0.0
BO0 9 onwind,6.915826309748331e-05,0.0
BO0 9 solar,0.0008272516990632875,0.0
BO1 0 biomass,23.66264165376751,4.94
BO1 0 oil,38.540990285738914,11.74
BO1 0 onwind,6.42454137402105e-05,0.0
BO1 0 ror,109.75000000000001,109.75000000000001
BO1 0 solar,69.91538014481114,0.0
BO0 0 load,1000000000.0,1000000000.0
BO0 1 load,1000000000.0,1000000000.0
BO0 10 load,1000000000.0,1000000000.0
BO0 11 load,1000000000.0,1000000000.0
BO0 12 load,1000000000.0,1000000000.0
BO0 13 load,1000000000.0,1000000000.0
BO0 14 load,1000000000.0,1000000000.0
BO0 15 load,1000000000.0,1000000000.0
BO0 16 load,1000000000.0,1000000000.0
BO0 17 load,1000000000.0,1000000000.0
BO0 18 load,1000000000.0,1000000000.0
BO0 19 load,1000000000.0,1000000000.0
BO0 2 load,1000000000.0,1000000000.0
BO0 20 load,1000000000.0,1000000000.0
BO0 21 load,1000000000.0,1000000000.0
BO0 22 load,1000000000.0,1000000000.0
BO0 23 load,1000000000.0,1000000000.0
BO0 24 load,1000000000.0,1000000000.0
BO0 25 load,1000000000.0,1000000000.0
BO0 26 load,1000000000.0,1000000000.0
BO0 3 load,1000000000.0,1000000000.0
BO0 4 load,1000000000.0,1000000000.0
BO0 5 load,1000000000.0,1000000000.0
BO0 6 load,1000000000.0,1000000000.0
BO0 7 load,1000000000.0,1000000000.0
BO0 8 load,1000000000.0,1000000000.0
BO0 9 load,1000000000.0,1000000000.0
BO1 0 load,1000000000.0,1000000000.0
